warn: LLAMA_API_KEY environment variable is set, but will be overwritten by command line argument --api-key
warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.006.988 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.009.000 I srv    load_model: loading model '/home/rojan-upreti/Desktop/nvdiahackathon/llm/qwen2.5-0.5b/Qwen2.5-0.5B-Instruct-Q4_K_M.gguf'
0.00.615.793 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.124.965 I cmn          init: llama threadpool init, n_threads = 6
0.01.203.563 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.214.336 I srv  llama_server: model loaded
0.01.214.344 I srv  llama_server: listening on http://127.0.0.1:8081
3.15.855.474 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.26.124.882 I slot print_timing: id  3 | task 3 |       total time =    1805.27 ms /   273 tokens
3.26.124.884 I slot print_timing: id  3 | task 3 |    graphs reused =         28
3.26.124.959 I slot      release: id  3 | task 3 | stop processing: n_tokens = 354, truncated = 0
3.53.399.504 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.190 (> 0.100 thold), f_keep = 0.232
3.53.406.225 I slot launch_slot_: id  3 | task 33 | processing task, is_child = 0
3.56.916.728 I slot print_timing: id  3 | task 33 | prompt eval time =    1043.03 ms /   350 tokens (    2.98 ms per token,   335.56 tokens per second)
3.56.916.732 I slot print_timing: id  3 | task 33 |        eval time =    2467.37 ms /    82 tokens (   30.46 ms per token,    32.83 tokens per second)
3.56.916.734 I slot print_timing: id  3 | task 33 |       total time =    3510.40 ms /   432 tokens
3.56.916.737 I slot print_timing: id  3 | task 33 |    graphs reused =        107
3.56.916.790 I slot      release: id  3 | task 33 | stop processing: n_tokens = 513, truncated = 0
4.37.586.734 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.185 (> 0.100 thold), f_keep = 0.160
4.37.596.267 I slot launch_slot_: id  3 | task 116 | processing task, is_child = 0
4.39.178.716 I slot print_timing: id  3 | task 116 | prompt eval time =    1067.21 ms /   362 tokens (    2.95 ms per token,   339.20 tokens per second)
4.39.178.721 I slot print_timing: id  3 | task 116 |        eval time =     515.14 ms /    17 tokens (   32.20 ms per token,    31.06 tokens per second)
4.39.178.723 I slot print_timing: id  3 | task 116 |       total time =    1582.35 ms /   379 tokens
4.39.178.726 I slot print_timing: id  3 | task 116 |    graphs reused =        122
4.39.178.783 I slot      release: id  3 | task 116 | stop processing: n_tokens = 460, truncated = 0
5.22.256.534 I srv    operator(): operator(): cleaning up before exit...
warn: LLAMA_API_KEY environment variable is set, but will be overwritten by command line argument --api-key
warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.003.712 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.005.451 I srv    load_model: loading model '/home/rojan-upreti/Desktop/nvdiahackathon/llm/qwen2.5-0.5b/Qwen2.5-0.5B-Instruct-Q4_K_M.gguf'
0.00.582.457 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.00.774.325 I cmn          init: llama threadpool init, n_threads = 6
0.00.864.130 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.00.869.278 I srv  llama_server: model loaded
0.00.869.285 I srv  llama_server: listening on http://127.0.0.1:8081
4.26.993.050 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.26.993.102 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
4.29.931.692 I slot print_timing: id  3 | task 0 | prompt eval time =    1248.31 ms /   418 tokens (    2.99 ms per token,   334.85 tokens per second)
4.29.931.704 I slot print_timing: id  3 | task 0 |        eval time =    1690.20 ms /    53 tokens (   32.50 ms per token,    30.77 tokens per second)
4.29.931.706 I slot print_timing: id  3 | task 0 |       total time =    2938.51 ms /   471 tokens
4.29.931.715 I slot print_timing: id  3 | task 0 |    graphs reused =         52
4.29.931.797 I slot      release: id  3 | task 0 | stop processing: n_tokens = 470, truncated = 0
4.50.289.970 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.189 (> 0.100 thold), f_keep = 0.174
4.50.294.580 I slot launch_slot_: id  3 | task 54 | processing task, is_child = 0
4.54.827.695 I slot print_timing: id  3 | task 54 | n_gen =    100, tg =  28.45 t/s, tg_3s =  28.74 t/s
4.57.883.570 I slot print_timing: id  3 | task 54 | n_gen =    182, tg =  27.71 t/s, tg_3s =  26.83 t/s
5.00.909.638 I slot print_timing: id  3 | task 54 | n_gen =    262, tg =  27.30 t/s, tg_3s =  26.44 t/s
5.03.924.182 I slot print_timing: id  3 | task 54 | n_gen =    344, tg =  27.27 t/s, tg_3s =  27.20 t/s
5.06.725.622 I slot print_timing: id  3 | task 54 | prompt eval time =    1053.48 ms /   351 tokens (    3.00 ms per token,   333.18 tokens per second)
5.06.725.633 I slot print_timing: id  3 | task 54 |        eval time =   15377.49 ms /   420 tokens (   36.70 ms per token,    27.25 tokens per second)
5.06.725.635 I slot print_timing: id  3 | task 54 |       total time =   16430.97 ms /   771 tokens
5.06.725.638 I slot print_timing: id  3 | task 54 |    graphs reused =        468
5.06.725.682 I slot      release: id  3 | task 54 | stop processing: n_tokens = 852, truncated = 0
5.52.311.883 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.186 (> 0.100 thold), f_keep = 0.096
5.52.325.510 I slot launch_slot_: id  3 | task 475 | processing task, is_child = 0
5.56.877.629 I slot print_timing: id  3 | task 475 | n_gen =    100, tg =  28.31 t/s, tg_3s =  28.59 t/s
5.59.886.180 I slot print_timing: id  3 | task 475 | n_gen =    191, tg =  29.20 t/s, tg_3s =  30.25 t/s
6.02.888.066 I slot print_timing: id  3 | task 475 | n_gen =    291, tg =  30.50 t/s, tg_3s =  33.31 t/s
6.05.906.514 I slot print_timing: id  3 | task 475 | n_gen =    386, tg =  30.74 t/s, tg_3s =  31.47 t/s
6.08.208.518 I slot print_timing: id  3 | task 475 | prompt eval time =    1054.77 ms /   360 tokens (    2.93 ms per token,   341.31 tokens per second)
6.08.208.528 I slot print_timing: id  3 | task 475 |        eval time =   14828.13 ms /   459 tokens (   32.38 ms per token,    30.89 tokens per second)
6.08.208.530 I slot print_timing: id  3 | task 475 |       total time =   15882.90 ms /   819 tokens
6.08.208.533 I slot print_timing: id  3 | task 475 |    graphs reused =        923
6.08.208.625 I slot      release: id  3 | task 475 | stop processing: n_tokens = 900, truncated = 0
9.48.423.837 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
9.48.423.929 I slot launch_slot_: id  2 | task 935 | processing task, is_child = 0
9.53.964.796 I slot print_timing: id  2 | task 935 | prompt eval time =    4791.89 ms /  1358 tokens (    3.53 ms per token,   283.40 tokens per second)
9.53.964.807 I slot print_timing: id  2 | task 935 |        eval time =     738.32 ms /    20 tokens (   38.86 ms per token,    25.73 tokens per second)
9.53.964.809 I slot print_timing: id  2 | task 935 |       total time =    5530.21 ms /  1378 tokens
9.53.964.812 I slot print_timing: id  2 | task 935 |    graphs reused =        941
9.53.965.013 I slot      release: id  2 | task 935 | stop processing: n_tokens = 1377, truncated = 0
11.01.056.226 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.264 (> 0.100 thold), f_keep = 0.259
11.01.071.697 I slot launch_slot_: id  2 | task 956 | processing task, is_child = 0
11.07.594.838 I slot print_timing: id  2 | task 956 | n_gen =    100, tg =  30.55 t/s, tg_3s =  30.86 t/s
11.10.613.827 I slot print_timing: id  2 | task 956 | n_gen =    191, tg =  30.35 t/s, tg_3s =  30.14 t/s
11.13.066.549 I slot print_timing: id  2 | task 956 | prompt eval time =    3282.47 ms /   996 tokens (    3.30 ms per token,   303.43 tokens per second)
11.13.066.555 I slot print_timing: id  2 | task 956 |        eval time =    8712.19 ms /   261 tokens (   33.51 ms per token,    29.84 tokens per second)
11.13.066.557 I slot print_timing: id  2 | task 956 |       total time =   11994.66 ms /  1257 tokens
11.13.066.560 I slot print_timing: id  2 | task 956 |    graphs reused =       1199
11.13.066.683 I slot      release: id  2 | task 956 | stop processing: n_tokens = 1613, truncated = 0
15.43.937.827 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.261 (> 0.100 thold), f_keep = 0.221
15.43.956.853 I slot launch_slot_: id  2 | task 1218 | processing task, is_child = 0
15.51.233.776 I slot print_timing: id  2 | task 1218 | n_gen =    100, tg =  25.18 t/s, tg_3s =  25.43 t/s
15.54.264.513 I slot print_timing: id  2 | task 1218 | n_gen =    189, tg =  27.00 t/s, tg_3s =  29.37 t/s
15.55.497.005 I slot print_timing: id  2 | task 1218 | prompt eval time =    3344.56 ms /  1011 tokens (    3.31 ms per token,   302.28 tokens per second)
15.55.497.013 I slot print_timing: id  2 | task 1218 |        eval time =    8195.51 ms /   225 tokens (   36.59 ms per token,    27.33 tokens per second)
15.55.497.015 I slot print_timing: id  2 | task 1218 |       total time =   11540.07 ms /  1236 tokens
15.55.497.016 I slot print_timing: id  2 | task 1218 |    graphs reused =       1421
15.55.497.168 I slot      release: id  2 | task 1218 | stop processing: n_tokens = 1592, truncated = 0
37.22.891.220 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.264 (> 0.100 thold), f_keep = 0.224
37.22.920.987 I slot launch_slot_: id  2 | task 1444 | processing task, is_child = 0
37.22.921.250 W slot   operator(): id  2 | task 1444 | need to evaluate at least 1 token for each active slot (n_past = 1353, task.n_tokens() = 1353)
37.22.921.251 W slot   operator(): id  2 | task 1444 | n_past was set to 1352
37.26.421.980 I slot print_timing: id  2 | task 1444 | n_gen =    100, tg =  28.60 t/s, tg_3s =  28.89 t/s
37.29.431.479 I slot print_timing: id  2 | task 1444 | n_gen =    184, tg =  28.28 t/s, tg_3s =  27.91 t/s
37.32.464.360 I slot print_timing: id  2 | task 1444 | n_gen =    265, tg =  27.78 t/s, tg_3s =  26.71 t/s
37.35.494.655 I slot print_timing: id  2 | task 1444 | n_gen =    345, tg =  27.45 t/s, tg_3s =  26.40 t/s
37.38.528.259 I slot print_timing: id  2 | task 1444 | n_gen =    427, tg =  27.36 t/s, tg_3s =  27.03 t/s
37.41.562.283 I slot print_timing: id  2 | task 1444 | n_gen =    505, tg =  27.09 t/s, tg_3s =  25.71 t/s
37.44.565.518 I slot print_timing: id  2 | task 1444 | n_gen =    585, tg =  27.03 t/s, tg_3s =  26.64 t/s
37.47.570.366 I slot print_timing: id  2 | task 1444 | n_gen =    666, tg =  27.02 t/s, tg_3s =  26.96 t/s
37.50.582.147 I slot print_timing: id  2 | task 1444 | n_gen =    741, tg =  26.79 t/s, tg_3s =  24.90 t/s
37.53.593.998 I slot print_timing: id  2 | task 1444 | n_gen =    818, tg =  26.67 t/s, tg_3s =  25.57 t/s
37.56.632.466 I slot print_timing: id  2 | task 1444 | n_gen =    893, tg =  26.49 t/s, tg_3s =  24.68 t/s
37.59.638.227 I slot print_timing: id  2 | task 1444 | n_gen =    971, tg =  26.45 t/s, tg_3s =  25.95 t/s
38.02.669.335 I slot print_timing: id  2 | task 1444 | n_gen =   1049, tg =  26.39 t/s, tg_3s =  25.73 t/s
38.05.687.848 I slot print_timing: id  2 | task 1444 | n_gen =   1119, tg =  26.17 t/s, tg_3s =  23.19 t/s
38.08.695.394 I slot print_timing: id  2 | task 1444 | n_gen =   1189, tg =  25.98 t/s, tg_3s =  23.27 t/s
38.11.718.923 I slot print_timing: id  2 | task 1444 | n_gen =   1258, tg =  25.78 t/s, tg_3s =  22.82 t/s
38.12.818.411 W srv          stop: cancel task, id_task = 1444
38.12.818.493 I slot      release: id  2 | task 1444 | stop processing: n_tokens = 2630, truncated = 0
39.16.254.720 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.141 (> 0.100 thold), f_keep = 0.136
39.16.304.142 I slot launch_slot_: id  2 | task 2724 | processing task, is_child = 0
39.24.371.613 I slot print_timing: id  2 | task 2724 | prompt processing, n_tokens =   2048, progress = 0.95, t =   8.07 s / 253.86 tokens per second
39.29.527.898 I slot print_timing: id  2 | task 2724 | n_gen =    100, tg =  21.88 t/s, tg_3s =  22.10 t/s
39.32.546.284 I slot print_timing: id  2 | task 2724 | n_gen =    173, tg =  22.80 t/s, tg_3s =  24.19 t/s
39.32.877.245 I slot print_timing: id  2 | task 2724 | prompt eval time =    8698.57 ms /  2186 tokens (    3.98 ms per token,   251.31 tokens per second)
39.32.877.257 I slot print_timing: id  2 | task 2724 |        eval time =    7874.31 ms /   180 tokens (   43.99 ms per token,    22.73 tokens per second)
39.32.877.260 I slot print_timing: id  2 | task 2724 |       total time =   16572.88 ms /  2366 tokens
39.32.877.262 I slot print_timing: id  2 | task 2724 |    graphs reused =       2870
39.32.902.463 I slot      release: id  2 | task 2724 | stop processing: n_tokens = 2723, truncated = 0
44.36.152.493 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.260 (> 0.100 thold), f_keep = 0.131
44.36.191.900 I slot launch_slot_: id  2 | task 2906 | processing task, is_child = 0
44.43.163.836 I slot print_timing: id  2 | task 2906 | n_gen =    100, tg =  29.25 t/s, tg_3s =  29.55 t/s
44.44.927.590 I slot print_timing: id  2 | task 2906 | prompt eval time =    3587.68 ms /  1018 tokens (    3.52 ms per token,   283.75 tokens per second)
44.44.927.685 I slot print_timing: id  2 | task 2906 |        eval time =    5147.90 ms /   151 tokens (   34.32 ms per token,    29.14 tokens per second)
44.44.927.689 I slot print_timing: id  2 | task 2906 |       total time =    8735.57 ms /  1169 tokens
44.44.927.692 I slot print_timing: id  2 | task 2906 |    graphs reused =       3019
44.44.927.820 I slot      release: id  2 | task 2906 | stop processing: n_tokens = 1525, truncated = 0
55.03.034.634 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.264 (> 0.100 thold), f_keep = 0.234
55.03.074.749 I slot launch_slot_: id  2 | task 3058 | processing task, is_child = 0
55.03.074.845 W slot   operator(): id  2 | task 3058 | need to evaluate at least 1 token for each active slot (n_past = 1353, task.n_tokens() = 1353)
55.03.074.871 W slot   operator(): id  2 | task 3058 | n_past was set to 1352
55.06.843.447 I slot print_timing: id  2 | task 3058 | n_gen =    100, tg =  26.71 t/s, tg_3s =  26.98 t/s
55.09.860.979 I slot print_timing: id  2 | task 3058 | n_gen =    183, tg =  27.07 t/s, tg_3s =  27.51 t/s
55.11.620.576 I slot print_timing: id  2 | task 3058 | prompt eval time =      62.22 ms /     1 tokens (   62.22 ms per token,    16.07 tokens per second)
55.11.620.608 I slot print_timing: id  2 | task 3058 |        eval time =    8483.38 ms /   220 tokens (   38.74 ms per token,    25.82 tokens per second)
55.11.620.610 I slot print_timing: id  2 | task 3058 |       total time =    8545.60 ms /   221 tokens
55.11.620.613 I slot print_timing: id  2 | task 3058 |    graphs reused =       3238
55.11.625.669 I slot      release: id  2 | task 3058 | stop processing: n_tokens = 1572, truncated = 0
56.15.630.068 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.861
56.15.630.549 I slot launch_slot_: id  2 | task 3279 | processing task, is_child = 0
56.15.630.618 W slot   operator(): id  2 | task 3279 | need to evaluate at least 1 token for each active slot (n_past = 1353, task.n_tokens() = 1353)
56.15.630.648 W slot   operator(): id  2 | task 3279 | n_past was set to 1352
56.20.487.068 I slot print_timing: id  2 | task 3279 | n_gen =    100, tg =  20.91 t/s, tg_3s =  21.12 t/s
56.23.527.584 I slot print_timing: id  2 | task 3279 | n_gen =    159, tg =  20.32 t/s, tg_3s =  19.40 t/s
56.26.538.007 I slot print_timing: id  2 | task 3279 | n_gen =    212, tg =  19.56 t/s, tg_3s =  17.61 t/s
56.29.545.346 I slot print_timing: id  2 | task 3279 | n_gen =    277, tg =  20.01 t/s, tg_3s =  21.61 t/s
56.32.567.828 I slot print_timing: id  2 | task 3279 | n_gen =    335, tg =  19.86 t/s, tg_3s =  19.19 t/s
56.35.585.746 I slot print_timing: id  2 | task 3279 | n_gen =    396, tg =  19.92 t/s, tg_3s =  20.21 t/s
56.38.615.847 I slot print_timing: id  2 | task 3279 | n_gen =    472, tg =  20.60 t/s, tg_3s =  25.08 t/s
56.41.639.928 I slot print_timing: id  2 | task 3279 | n_gen =    547, tg =  21.09 t/s, tg_3s =  24.80 t/s
56.44.676.985 I slot print_timing: id  2 | task 3279 | n_gen =    602, tg =  20.78 t/s, tg_3s =  18.11 t/s
56.46.885.618 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
56.47.070.635 I slot launch_slot_: id  1 | task 3925 | processing task, is_child = 0
56.52.344.564 I slot print_timing: id  2 | task 3279 | n_gen =    646, tg =  17.63 t/s, tg_3s =   5.74 t/s
56.55.390.299 I slot print_timing: id  2 | task 3279 | n_gen =    695, tg =  17.51 t/s, tg_3s =  16.09 t/s
56.58.429.557 I slot print_timing: id  2 | task 3279 | n_gen =    731, tg =  17.11 t/s, tg_3s =  11.84 t/s
56.59.878.003 I slot print_timing: id  1 | task 3925 | n_gen =    100, tg =  13.14 t/s, tg_3s =  13.27 t/s
57.01.434.167 I slot print_timing: id  2 | task 3279 | n_gen =    758, tg =  16.57 t/s, tg_3s =   8.99 t/s
57.02.973.487 I slot print_timing: id  1 | task 3925 | n_gen =    125, tg =  11.67 t/s, tg_3s =   8.08 t/s
57.04.511.620 I slot print_timing: id  2 | task 3279 | n_gen =    785, tg =  16.08 t/s, tg_3s =   8.77 t/s
57.06.045.221 I slot print_timing: id  1 | task 3925 | n_gen =    159, tg =  11.53 t/s, tg_3s =  11.07 t/s
57.07.552.944 I slot print_timing: id  2 | task 3279 | n_gen =    823, tg =  15.87 t/s, tg_3s =  12.49 t/s
57.09.057.843 I slot print_timing: id  1 | task 3925 | n_gen =    194, tg =  11.55 t/s, tg_3s =  11.62 t/s
57.10.599.110 I slot print_timing: id  2 | task 3279 | n_gen =    855, tg =  15.57 t/s, tg_3s =  10.51 t/s
57.12.111.382 I slot print_timing: id  1 | task 3925 | n_gen =    230, tg =  11.58 t/s, tg_3s =  11.79 t/s
57.12.438.416 W srv          stop: cancel task, id_task = 3925
57.12.518.071 I slot      release: id  1 | task 3925 | stop processing: n_tokens = 1588, truncated = 0
57.13.643.950 I slot print_timing: id  2 | task 3279 | n_gen =    902, tg =  15.56 t/s, tg_3s =  15.44 t/s
57.16.704.564 I slot print_timing: id  2 | task 3279 | n_gen =    959, tg =  15.72 t/s, tg_3s =  18.62 t/s
57.19.729.049 I slot print_timing: id  2 | task 3279 | n_gen =   1007, tg =  15.72 t/s, tg_3s =  15.87 t/s
57.22.748.334 I slot print_timing: id  2 | task 3279 | n_gen =   1073, tg =  16.00 t/s, tg_3s =  21.86 t/s
57.25.751.151 I slot print_timing: id  2 | task 3279 | n_gen =   1139, tg =  16.26 t/s, tg_3s =  21.98 t/s
57.28.779.618 I slot print_timing: id  2 | task 3279 | n_gen =   1195, tg =  16.35 t/s, tg_3s =  18.49 t/s
57.31.794.848 I slot print_timing: id  2 | task 3279 | n_gen =   1259, tg =  16.54 t/s, tg_3s =  21.23 t/s
57.34.801.420 I slot print_timing: id  2 | task 3279 | n_gen =   1327, tg =  16.77 t/s, tg_3s =  22.62 t/s
57.37.873.677 I slot print_timing: id  2 | task 3279 | n_gen =   1391, tg =  16.93 t/s, tg_3s =  20.83 t/s
57.40.883.964 I slot print_timing: id  2 | task 3279 | n_gen =   1447, tg =  16.99 t/s, tg_3s =  18.60 t/s
57.43.920.418 I slot print_timing: id  2 | task 3279 | n_gen =   1506, tg =  17.07 t/s, tg_3s =  19.43 t/s
57.46.944.671 I slot print_timing: id  2 | task 3279 | n_gen =   1557, tg =  17.06 t/s, tg_3s =  16.86 t/s
57.49.984.318 I slot print_timing: id  2 | task 3279 | n_gen =   1620, tg =  17.18 t/s, tg_3s =  20.73 t/s
57.53.003.447 I slot print_timing: id  2 | task 3279 | n_gen =   1677, tg =  17.23 t/s, tg_3s =  18.88 t/s
57.56.027.247 I slot print_timing: id  2 | task 3279 | n_gen =   1741, tg =  17.35 t/s, tg_3s =  21.17 t/s
57.59.042.925 I slot print_timing: id  2 | task 3279 | n_gen =   1811, tg =  17.52 t/s, tg_3s =  23.21 t/s
58.02.055.297 I slot print_timing: id  2 | task 3279 | n_gen =   1871, tg =  17.59 t/s, tg_3s =  19.92 t/s
58.05.085.554 I slot print_timing: id  2 | task 3279 | n_gen =   1937, tg =  17.71 t/s, tg_3s =  21.78 t/s
58.08.091.513 I slot print_timing: id  2 | task 3279 | n_gen =   2002, tg =  17.81 t/s, tg_3s =  21.62 t/s
58.10.540.142 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.262 (> 0.100 thold), f_keep = 0.225
58.10.706.370 I slot launch_slot_: id  1 | task 5327 | processing task, is_child = 0
58.11.096.178 I slot print_timing: id  2 | task 3279 | n_gen =   2051, tg =  17.77 t/s, tg_3s =  16.31 t/s
58.11.549.640 I slot print_timing: id  1 | task 5327 | prompt eval time =     101.27 ms /     6 tokens (   16.88 ms per token,    59.25 tokens per second)
58.11.549.651 I slot print_timing: id  1 | task 5327 |        eval time =     741.92 ms /    14 tokens (   57.07 ms per token,    17.52 tokens per second)
58.11.549.654 I slot print_timing: id  1 | task 5327 |       total time =     843.19 ms /    20 tokens
58.11.549.656 I slot print_timing: id  1 | task 5327 |    graphs reused =       5283
58.11.581.516 I slot      release: id  1 | task 5327 | stop processing: n_tokens = 1377, truncated = 0
58.14.142.890 I slot print_timing: id  2 | task 3279 | n_gen =   2109, tg =  17.81 t/s, tg_3s =  19.04 t/s
58.17.176.759 I slot print_timing: id  2 | task 3279 | n_gen =   2166, tg =  17.83 t/s, tg_3s =  18.79 t/s
58.20.202.349 I slot print_timing: id  2 | task 3279 | n_gen =   2221, tg =  17.84 t/s, tg_3s =  18.18 t/s
58.23.226.296 I slot print_timing: id  2 | task 3279 | n_gen =   2281, tg =  17.89 t/s, tg_3s =  19.84 t/s
58.26.245.496 I slot print_timing: id  2 | task 3279 | n_gen =   2340, tg =  17.92 t/s, tg_3s =  19.54 t/s
58.29.256.703 I slot print_timing: id  2 | task 3279 | n_gen =   2399, tg =  17.96 t/s, tg_3s =  19.59 t/s
58.32.287.542 I slot print_timing: id  2 | task 3279 | n_gen =   2464, tg =  18.04 t/s, tg_3s =  21.45 t/s
58.35.342.095 I slot print_timing: id  2 | task 3279 | n_gen =   2519, tg =  18.04 t/s, tg_3s =  18.01 t/s
58.38.356.618 I slot print_timing: id  2 | task 3279 | n_gen =   2580, tg =  18.08 t/s, tg_3s =  20.24 t/s
58.41.372.020 I slot print_timing: id  2 | task 3279 | n_gen =   2642, tg =  18.14 t/s, tg_3s =  20.56 t/s
58.44.394.480 I slot print_timing: id  2 | task 3279 | n_gen =   2702, tg =  18.17 t/s, tg_3s =  19.85 t/s
58.47.436.275 I slot print_timing: id  2 | task 3279 | n_gen =   2774, tg =  18.28 t/s, tg_3s =  23.67 t/s
58.50.474.849 I slot print_timing: id  2 | task 3279 | n_gen =   2836, tg =  18.32 t/s, tg_3s =  20.40 t/s
58.53.512.690 I slot print_timing: id  2 | task 3279 | n_gen =   2905, tg =  18.41 t/s, tg_3s =  22.71 t/s
58.56.544.929 I slot print_timing: id  2 | task 3279 | n_gen =   2973, tg =  18.48 t/s, tg_3s =  22.43 t/s
58.59.582.787 I slot print_timing: id  2 | task 3279 | n_gen =   3032, tg =  18.50 t/s, tg_3s =  19.42 t/s
59.02.614.296 I slot print_timing: id  2 | task 3279 | n_gen =   3098, tg =  18.56 t/s, tg_3s =  21.78 t/s
59.05.628.027 I slot print_timing: id  2 | task 3279 | n_gen =   3164, tg =  18.62 t/s, tg_3s =  21.89 t/s
59.08.663.127 I slot print_timing: id  2 | task 3279 | n_gen =   3227, tg =  18.66 t/s, tg_3s =  20.76 t/s
59.11.701.286 I slot print_timing: id  2 | task 3279 | n_gen =   3296, tg =  18.73 t/s, tg_3s =  22.71 t/s
59.14.720.485 I slot print_timing: id  2 | task 3279 | n_gen =   3345, tg =  18.68 t/s, tg_3s =  16.23 t/s
59.17.748.995 I slot print_timing: id  2 | task 3279 | n_gen =   3402, tg =  18.69 t/s, tg_3s =  18.82 t/s
59.20.757.476 I slot print_timing: id  2 | task 3279 | n_gen =   3461, tg =  18.70 t/s, tg_3s =  19.61 t/s
59.23.785.904 I slot print_timing: id  2 | task 3279 | n_gen =   3519, tg =  18.71 t/s, tg_3s =  19.15 t/s
59.26.806.461 I slot print_timing: id  2 | task 3279 | n_gen =   3582, tg =  18.74 t/s, tg_3s =  20.87 t/s
59.29.832.292 I slot print_timing: id  2 | task 3279 | n_gen =   3642, tg =  18.76 t/s, tg_3s =  19.82 t/s
59.32.865.643 I slot print_timing: id  2 | task 3279 | n_gen =   3697, tg =  18.75 t/s, tg_3s =  18.13 t/s
59.35.890.660 I slot print_timing: id  2 | task 3279 | n_gen =   3757, tg =  18.77 t/s, tg_3s =  19.83 t/s
59.38.937.474 I slot print_timing: id  2 | task 3279 | n_gen =   3811, tg =  18.75 t/s, tg_3s =  17.72 t/s
59.41.328.054 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.309 (> 0.100 thold), f_keep = 0.259
